"zone_id","datum","uur","max_availability","avg_availability"
51931,2024-08-15,2,1,1
51931,2024-08-15,3,1,1
51931,2024-08-15,4,1,1
51931,2024-08-15,5,1,1
51931,2024-08-15,6,1,1
51931,2024-08-15,7,1,1
51931,2024-08-15,8,1,1
51931,2024-08-15,9,1,1
51931,2024-08-15,10,1,1
51931,2024-08-15,11,1,1
51931,2024-08-15,12,1,1
51931,2024-08-15,13,1,1
51931,2024-08-15,14,1,1
51931,2024-08-15,15,1,1
51931,2024-08-15,16,1,1
51931,2024-08-15,17,1,1
51931,2024-08-15,18,1,1
51931,2024-08-15,19,1,1
51931,2024-08-15,20,1,1
51931,2024-08-15,21,1,1
51931,2024-08-15,22,1,1
51931,2024-08-15,23,1,1
51931,2024-08-16,0,1,1
51931,2024-08-16,1,1,1
51931,2024-08-16,2,1,1
51931,2024-08-16,3,1,1
51931,2024-08-16,4,1,1
51931,2024-08-16,5,1,1
51931,2024-08-16,6,1,1
51931,2024-08-16,7,1,1
51931,2024-08-16,8,1,1
51931,2024-08-16,9,1,1
51931,2024-08-16,10,1,1
51931,2024-08-16,11,1,1
51931,2024-08-16,12,1,1
51931,2024-08-16,13,1,1
51931,2024-08-16,14,1,1
51931,2024-08-16,15,1,1
51931,2024-08-16,16,1,1
51931,2024-08-16,17,1,1
51931,2024-08-16,18,1,1
51931,2024-08-16,19,1,1
51931,2024-08-16,20,1,1
51931,2024-08-16,21,1,1
51931,2024-08-16,22,1,1
51931,2024-08-16,23,1,1
51931,2024-08-17,0,1,1
51931,2024-08-17,1,1,1
51931,2024-08-17,2,1,1
51931,2024-08-17,3,1,1
51931,2024-08-17,4,1,1
51931,2024-08-17,5,1,1
51931,2024-08-17,6,1,1
51931,2024-08-17,7,1,1
51931,2024-08-17,8,1,1
51931,2024-08-17,9,1,1
51931,2024-08-17,10,1,1
51931,2024-08-17,11,1,1
51931,2024-08-17,12,1,1
51931,2024-08-17,13,1,1
51931,2024-08-17,14,1,1
51931,2024-08-17,15,1,1
51931,2024-08-17,16,1,1
51931,2024-08-17,17,1,1
51931,2024-08-17,18,1,1
51931,2024-08-17,19,1,1
51931,2024-08-17,20,1,1
51931,2024-08-17,21,1,1
51931,2024-08-17,22,1,1
51931,2024-08-17,23,1,1
51931,2024-08-18,0,1,1
51931,2024-08-18,1,1,1
51931,2024-08-18,2,1,1
51931,2024-08-18,3,1,1
51931,2024-08-18,4,1,1
51931,2024-08-18,5,1,1
51931,2024-08-18,6,1,1
51931,2024-08-18,7,1,1
51931,2024-08-18,8,1,1
51931,2024-08-18,9,1,1
51931,2024-08-18,10,1,1
51931,2024-08-18,11,1,1
51931,2024-08-18,12,1,1
51931,2024-08-18,13,1,1
51931,2024-08-18,14,1,1
51931,2024-08-18,15,1,1
51931,2024-08-18,16,1,1
51931,2024-08-18,17,1,1
51931,2024-08-18,18,1,1
51931,2024-08-18,19,1,1
51931,2024-08-18,20,1,1
51931,2024-08-18,21,1,1
51931,2024-08-18,22,1,1
51931,2024-08-18,23,1,1
51931,2024-08-19,0,1,1
51931,2024-08-19,1,1,1
51931,2024-08-19,2,1,1
51931,2024-08-19,3,1,1
51931,2024-08-19,4,1,1
51931,2024-08-19,5,1,1
51931,2024-08-19,6,1,1
51931,2024-08-19,7,1,1
51931,2024-08-19,8,1,1
51931,2024-08-19,9,1,1
51931,2024-08-19,10,1,1
51931,2024-08-19,11,1,1
51931,2024-08-19,12,1,1
51931,2024-08-19,13,1,1
51931,2024-08-19,14,1,1
51931,2024-08-19,15,1,1
51931,2024-08-19,16,1,1
51931,2024-08-19,17,1,1
51931,2024-08-19,18,1,1
51931,2024-08-19,19,1,1
51931,2024-08-19,20,1,1
51931,2024-08-19,21,1,1
51931,2024-08-19,22,1,1
51931,2024-08-19,23,1,1
51931,2024-08-20,0,1,1
51931,2024-08-20,1,1,1
51931,2024-08-20,2,1,1
51931,2024-08-20,3,1,1
51931,2024-08-20,4,1,1
51931,2024-08-20,5,1,1
51931,2024-08-20,6,1,1
51931,2024-08-20,7,1,1
51931,2024-08-20,8,1,1
51931,2024-08-20,9,1,1
51931,2024-08-20,10,1,1
51931,2024-08-20,11,1,1
51931,2024-08-20,12,1,1
51931,2024-08-20,13,1,1
51931,2024-08-20,14,1,1
51931,2024-08-20,15,1,1
