name,WKT
BH Langenhorst ,"POLYGON((4.494270286 51.874084036, 4.494275651 51.874156899, 4.494235417 51.874157727, 4.494234076 51.874085692, 4.494270286 51.874084036))"
BH Winkelhart Katendrechtse Lagedijk,"POLYGON((4.479497702 51.891203146, 4.479403825 51.891153486, 4.479382367 51.891166729, 4.479480268 51.891216389, 4.479497702 51.891203146))"
BH Station Alexander,"POLYGON((4.551016375 51.951776328, 4.551051244 51.951690366, 4.55108209 51.951693673, 4.551044539 51.951781288, 4.551016375 51.951776328))"
BH Metrostation Oosterflank,"POLYGON((4.554999849 51.945191139, 4.555099091 51.945212633, 4.555092385 51.945227513, 4.554991802 51.945206846, 4.554999849 51.945191139))"
BH Metro Beurs,"POLYGON((4.480162038 51.917808908, 4.480155333 51.91782297, 4.480052067 51.917803118, 4.480058773 51.917789056, 4.480162038 51.917808908))"
BH Metro Romeynshof,"POLYGON((4.543757767 51.961497811, 4.543695595 51.96148767, 4.543680967 51.961519219, 4.54374131 51.96152936, 4.543757767 51.961497811))"
BH Metro Prinsenlaan,"POLYGON((4.556870836 51.940650587, 4.556879008 51.940628421, 4.556991776 51.940644542, 4.556985239 51.940666707, 4.556870836 51.940650587))"
BH Metro Dijkzigt - EMC,"POLYGON((4.466474711 51.911855162, 4.466489459 51.911835708, 4.466272528 51.911774849, 4.466257781 51.911796821, 4.466474711 51.911855162))"
BH Tongelaarweg,"POLYGON((4.563443247 51.895298685, 4.563593451 51.895277995, 4.563588086 51.895261443, 4.563436542 51.895282133, 4.563443247 51.895298685))"
BH Schilderstraat,"POLYGON((4.481470691 51.916368759, 4.481470691 51.916387853, 4.48138667 51.916386944, 4.48138667 51.916366941, 4.481470691 51.916368759))"
BH Franselaan,"POLYGON((4.420517151 51.917368385, 4.420408522 51.917379965, 4.420409863 51.917389891, 4.420518492 51.917378311, 4.420517151 51.917368385))"
BH Kraaierstraat,"POLYGON((4.418189545 51.919132134, 4.418178816 51.919064307, 4.418197592 51.919061826, 4.418206979 51.919131307, 4.418189545 51.919132134))"
BH Vierhavenstraat,"POLYGON((4.434935996 51.910387164, 4.435027191 51.910263066, 4.43504999 51.91026803, 4.434960136 51.910392128, 4.434935996 51.910387164))"
BH Willem Ruyslaan (Luzac College),"POLYGON((4.508706997 51.925444633, 4.508653353 51.925392529, 4.508631895 51.925399146, 4.508688222 51.925451249, 4.508706997 51.925444633))"
BH Marconistraat (Lee Towers),"POLYGON((4.430476903 51.912438953, 4.430350839 51.912426544, 4.430345475 51.912443917, 4.43047288 51.912455499, 4.430476903 51.912438953))"
BH Jacques Dutilhweg,"POLYGON((4.547565121 51.928006515, 4.547570486 51.927992457, 4.547465879 51.927980052, 4.547460515 51.927992457, 4.547565121 51.928006515))"
BH Metrostation Kralingsezoom (Gravenweg),"POLYGON((4.533816067 51.921765767, 4.53389251 51.921750052, 4.533887146 51.921737645, 4.53380802 51.921752533, 4.533816067 51.921765767))"
BH STC Waalhaven,"POLYGON((4.448885851 51.87827201, 4.448625676 51.878299331, 4.448631041 51.878322541, 4.448893897 51.87829522, 4.448885851 51.87827201))"
BH Winkelhart Plein 1953,"POLYGON((4.467959267 51.874842065, 4.467954782 51.874826372, 4.467820211 51.874842065, 4.467826192 51.874857758, 4.467959267 51.874842065))"
